ID;name;country;city;region;description
d0000001-0000-4000-a000-000000000001;Paris;France;Île-de-France;City of Light — cultural heart of Europe with iconic landmarks and cuisine
d0000001-0000-4000-a000-000000000002;Bangkok;Thailand;Central Thailand;Vibrant metropolis blending ancient temples with a modern skyline
d0000001-0000-4000-a000-000000000003;Bali;Indonesia;Bali Province;Tropical paradise known for rice terraces, beaches, and spiritual culture
d0000001-0000-4000-a000-000000000004;Bangalore;India;Karnataka;India's Silicon Valley — technology hub with a pleasant year-round climate
d0000001-0000-4000-a000-000000000005;New York;United States;New York State;The Big Apple — iconic city of skyscrapers, culture, and world-class dining
d0000001-0000-4000-a000-000000000006;Sydney;Australia;New South Wales;Harbour city famous for the Opera House, Bondi Beach, and vibrant lifestyle
d0000001-0000-4000-a000-000000000007;Singapore;Singapore;Central Region;Modern city-state at the crossroads of Asia — clean, efficient, and cosmopolitan
d0000001-0000-4000-a000-000000000008;Zurich;Switzerland;Zurich Canton;Financial capital set against a stunning Alps backdrop with pristine lake views
d0000001-0000-4000-a000-000000000009;Tokyo;Japan;Kanto;World's largest city combining centuries-old tradition with cutting-edge futurism
d0000001-0000-4000-a000-000000000010;Dubai;United Arab Emirates;Dubai Emirate;Ultra-modern desert metropolis with iconic architecture and tax-free luxury shopping
d0000001-0000-4000-a000-000000000011;Rome;Italy;Lazio;Eternal City with 2000 years of history — the Colosseum, Vatican, and world-class art
d0000001-0000-4000-a000-000000000012;Shanghai;China;Shanghai Municipality;China's global financial and business hub with a dazzling skyline and rich history
